# tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)  
    7.40000000e-01  -3.06018808e-02  6.54816726e-03  -3.02666349e-04  1.05868713e-03  -9.84234217e-04  1.07230170e-03  -1.15773919e-01  5.42632280e-02  -1.05430263e-01  5.46991750e-02  -1.05446742e-01  5.47140453e-02  -2.90621290e-02  -4.33580938e-03  -2.58531690e-02  7.72955213e-04  -2.48893365e-02  2.22880452e-04  
    7.45000000e-01  -3.06795532e-02  6.60684493e-03  -5.89869668e-04  1.10522575e-03  -1.23178474e-03  1.11470121e-03  -1.15109250e-01  5.42617249e-02  -1.04846943e-01  5.46244925e-02  -1.04897868e-01  5.46787437e-02  -2.85343956e-02  -3.41300726e-03  -2.52892691e-02  1.61455861e-03  -2.42730242e-02  1.12115703e-03  
    7.50000000e-01  -3.07489329e-02  6.66304519e-03  -8.71951090e-04  1.15110111e-03  -1.47532886e-03  1.15662971e-03  -1.14440467e-01  5.42324918e-02  -1.04253179e-01  5.45165174e-02  -1.04338988e-01  5.46105490e-02  -2.79530110e-02  -2.46145379e-03  -2.46567508e-02  2.51295863e-03  -2.35890353e-02  2.07713213e-03  
    7.55000000e-01  -3.08098765e-02  6.71661721e-03  -1.14756301e-03  1.19628767e-03  -1.71365811e-03  1.19810329e-03  -1.13760565e-01  5.41821364e-02  -1.03645940e-01  5.43823862e-02  -1.03766739e-01  5.45167958e-02  -2.72897645e-02  -1.45242787e-03  -2.39444280e-02  3.46250861e-03  -2.28254026e-02  3.08655178e-03  
    7.60000000e-01  -3.08622471e-02  6.76728031e-03  -1.41715113e-03  1.24083971e-03  -1.94710908e-03  1.23920400e-03  -1.13059047e-01  5.40989886e-02  -1.03021511e-01  5.42140732e-02  -1.03177276e-01  5.43886762e-02  -2.65527164e-02  -4.45711185e-04  -2.31702282e-02  4.42714561e-03  -2.19992138e-02  4.11262122e-03  
    7.65000000e-01  -3.09056806e-02  6.81470027e-03  -1.68082748e-03  1.28451613e-03  -2.17570452e-03  1.27968479e-03  -1.12337804e-01  5.39748910e-02  -1.02368753e-01  5.40002482e-02  -1.02559620e-01  5.42153960e-02  -2.57949243e-02  5.30203549e-04  -2.23888402e-02  5.36282085e-03  -2.11660947e-02  5.11115546e-03  
    7.70000000e-01  -3.09399369e-02  6.85858438e-03  -1.93881131e-03  1.32706641e-03  -2.39957006e-03  1.31929982e-03  -1.11601158e-01  5.38214372e-02  -1.01696951e-01  5.37646005e-02  -1.01922611e-01  5.40199474e-02  -2.49842301e-02  1.47129394e-03  -2.15696781e-02  6.25859198e-03  -2.02950990e-02  6.07117761e-03  
    7.75000000e-01  -3.09651031e-02  6.89879345e-03  -2.19239646e-03  1.36882359e-03  -2.61974636e-03  1.35836548e-03  -1.10858969e-01  5.36543851e-02  -1.01020139e-01  5.35119829e-02  -1.01280083e-01  5.38074544e-02  -2.41003917e-02  2.40541979e-03  -2.07072174e-02  7.12721327e-03  -1.93794907e-02  7.00576035e-03  
    7.80000000e-01  -3.09814714e-02  6.93504254e-03  -2.44302269e-03  1.40950116e-03  -2.83743955e-03  1.39671164e-03  -1.10126118e-01  5.34640669e-02  -1.00350650e-01  5.32298150e-02  -1.00644389e-01  5.35653173e-02  -2.31983087e-02  3.30021425e-03  -1.98397347e-02  7.97908557e-03  -1.84577910e-02  7.92496677e-03  
    7.85000000e-01  -3.09890421e-02  6.96683078e-03  -2.69080488e-03  1.44859573e-03  -3.05271740e-03  1.43393186e-03  -1.09399743e-01  5.32476130e-02  -9.96840826e-02  5.29249693e-02  -1.00011270e-01  5.33007870e-02  -2.22773025e-02  4.15848894e-03  -1.89719259e-02  8.79929020e-03  -1.75359157e-02  8.81265808e-03  
    7.90000000e-01  -3.09878290e-02  6.99397211e-03  -2.93512249e-03  1.48640940e-03  -3.26497999e-03  1.47022124e-03  -1.08678628e-01  5.30118982e-02  -9.90217378e-02  5.26003671e-02  -9.93822016e-02  5.30163002e-02  -2.13396905e-02  5.00878588e-03  -1.80809981e-02  9.60736816e-03  -1.65902184e-02  9.69083377e-03  
    7.95000000e-01  -3.09778305e-02  7.01650668e-03  -3.17566346e-03  1.52322308e-03  -3.47390057e-03  1.50571744e-03  -1.07957249e-01  5.27500397e-02  -9.83608493e-02  5.22482813e-02  -9.87539827e-02  5.27037643e-02  -2.03996311e-02  5.85494423e-03  -1.71849426e-02  1.04054528e-02  -1.56396490e-02  1.05604140e-02  
    8.00000000e-01  -3.09593261e-02  7.03458471e-03  -3.41331144e-03  1.55930529e-03  -3.68024818e-03  1.54056163e-03  -1.07249821e-01  5.24629231e-02  -9.77072967e-02  5.18717344e-02  -9.81330509e-02  5.23660064e-02  -1.94606801e-02  6.72419792e-03  -1.62723007e-02  1.12349298e-02  -1.46721742e-02  1.14628446e-02  
    8.05000000e-01  -3.09325177e-02  7.04835579e-03  -3.64857878e-03  1.59518631e-03  -3.88449836e-03  1.57522821e-03  -1.06561541e-01  5.21657849e-02  -9.70710101e-02  5.14959684e-02  -9.75290203e-02  5.20282665e-02  -1.84891997e-02  7.60500373e-03  -1.53354378e-02  1.20694038e-02  -1.36800646e-02  1.23697312e-02  
    8.10000000e-01  -3.08974375e-02  7.05779030e-03  -3.88078919e-03  1.63071709e-03  -4.08614323e-03  1.60967096e-03  -1.05881809e-01  5.18772988e-02  -9.64487927e-02  5.11357313e-02  -9.69385268e-02  5.17053157e-02  -1.75112916e-02  8.48285751e-03  -1.44072648e-02  1.28983565e-02  -1.26963062e-02  1.32709213e-02  
    8.15000000e-01  -3.08541862e-02  7.06285348e-03  -4.10956639e-03  1.66547441e-03  -4.28496434e-03  1.64361200e-03  -1.05204805e-01  5.15927868e-02  -9.58186753e-02  5.07750817e-02  -9.63403204e-02  5.13817560e-02  -1.65439716e-02  9.33680722e-03  -1.34946674e-02  1.37057134e-02  -1.17282390e-02  1.41505715e-02  
    8.20000000e-01  -3.08029260e-02  7.06362438e-03  -4.33384351e-03  1.69931122e-03  -4.48013504e-03  1.67697717e-03  -1.04541507e-01  5.12951785e-02  -9.52094976e-02  5.04034402e-02  -9.57636887e-02  5.10467139e-02  -1.55916910e-02  1.01409357e-02  -1.25668405e-02  1.44824704e-02  -1.07459363e-02  1.49991124e-02  
    8.25000000e-01  -3.07439713e-02  7.06020817e-03  -4.55285577e-03  1.73255704e-03  -4.67107573e-03  1.71006284e-03  -1.03917366e-01  5.09886707e-02  -9.46434799e-02  5.00200147e-02  -9.52311078e-02  5.06991732e-02  -1.46321878e-02  1.09236572e-02  -1.16463001e-02  1.52352066e-02  -9.77219920e-03  1.58233324e-02  
    8.30000000e-01  -3.06776578e-02  7.05293554e-03  -4.76761599e-03  1.76564708e-03  -4.85879982e-03  1.74310202e-03  -1.03340976e-01  5.06658936e-02  -9.41244351e-02  4.96210945e-02  -9.47471828e-02  5.03351801e-02  -1.36642299e-02  1.16639178e-02  -1.07055923e-02  1.59240867e-02  -8.77973986e-03  1.65836670e-02  
    8.35000000e-01  -3.06041668e-02  7.04249870e-03  -4.97864511e-03  1.79904214e-03  -5.04382270e-03  1.77626178e-03  -1.02813028e-01  5.03278631e-02  -9.36579324e-02  4.92062955e-02  -9.43176264e-02  4.99543010e-02  -1.26850935e-02  1.23526087e-02  -9.75706799e-03  1.65480706e-02  -7.78047468e-03  1.72783044e-02  
    8.40000000e-01  -3.05240333e-02  7.02958373e-03  -5.18569429e-03  1.83337010e-03  -5.22601618e-03  1.80993163e-03  -1.02332888e-01  4.99743064e-02  -9.32494016e-02  4.87728723e-02  -9.39474497e-02  4.95525447e-02  -1.16978427e-02  1.30402542e-02  -8.79024747e-03  1.71875033e-02  -6.76468658e-03  1.79879865e-02  
    8.45000000e-01  -3.04377060e-02  7.01483708e-03  -5.38814343e-03  1.86899766e-03  -5.40497177e-03  1.84443337e-03  -1.01904515e-01  4.95996221e-02  -9.28982517e-02  4.83197111e-02  -9.36365045e-02  4.91295246e-02  -1.06931009e-02  1.37613855e-02  -7.81442655e-03  1.78640786e-02  -5.74070045e-03  1.87325284e-02  
    8.50000000e-01  -3.03452973e-02  6.99863763e-03  -5.58539577e-03  1.90520721e-03  -5.58030466e-03  1.87920046e-03  -1.01531788e-01  4.92087248e-02  -9.26068192e-02  4.78515676e-02  -9.33878263e-02  4.86894616e-02  -9.69822562e-03  1.44718742e-02  -6.86428113e-03  1.85347500e-02  -4.74371227e-03  1.94692400e-02  
    8.55000000e-01  -3.02470832e-02  6.98137497e-03  -5.77742651e-03  1.94083322e-03  -5.75203535e-03  1.91323755e-03  -1.01205447e-01  4.88211861e-02  -9.23694092e-02  4.73835639e-02  -9.31957977e-02  4.82480939e-02  -8.72418021e-03  1.51537153e-02  -5.93525441e-03  1.91726065e-02  -3.76909054e-03  2.01712260e-02  
    8.60000000e-01  -3.01434813e-02  6.96348675e-03  -5.96434785e-03  1.97552534e-03  -5.92025422e-03  1.94626255e-03  -1.00923985e-01  4.84468050e-02  -9.21852616e-02  4.69263177e-02  -9.30594144e-02  4.78162815e-02  -7.76941526e-03  1.58005971e-02  -5.02165496e-03  1.97659529e-02  -2.81112430e-03  2.08277507e-02  
    8.65000000e-01  -3.00349816e-02  6.94528725e-03  -6.14574777e-03  2.00952982e-03  -6.08449285e-03  1.97856032e-03  -1.00678866e-01  4.80919318e-02  -9.20427062e-02  4.64857284e-02  -9.29668711e-02  4.74001544e-02  -6.84341204e-03  1.64131103e-02  -4.13447081e-03  2.03302071e-02  -1.88118639e-03  2.14544200e-02  
